size,planner,makespan
8,HEFT,1045059.6555486141
8,HEFT,1041661.9171205128
8,HEFT,1039867.3879940129
8,HEFT,1063087.2040327885
8,HEFT,1059543.4822823787
8,HEFT,1046589.6935850594
8,HEFT,1043947.4689004708
8,HEFT,1042831.3198040588
8,HEFT,1042436.8664378113
8,HEFT,1042218.4630098236
8,HEFT,1037856.9972900356
8,HEFT,1035577.5630589544
8,HEFT,1048240.3030835915
8,HEFT,1060399.9213173045
8,HEFT,1050183.275927727
8,HEFT,1036416.7018684912
8,HEFT,1039853.5907576508
8,HEFT,1031858.9199289192
8,HEFT,1066951.375227323
8,HEFT,1036737.2763280707
8,HEFT,1040311.4635840331
8,HEFT,1041125.1982567876
8,HEFT,1049921.7357321088
8,HEFT,1040451.0344678741
8,HEFT,1047858.5267475131
8,HEFT,1054456.5844873835
8,HEFT,1057710.146638936
8,HEFT,1060653.402198896
8,HEFT,1036672.5040571549
8,HEFT,1055484.720611833
8,HEFT,1046134.4518938508
8,HEFT,1037293.6202557936
8,HEFT,1040031.1051372985
8,HEFT,1039020.1780675631
8,HEFT,1058241.813526351
8,HEFT,1055428.18345283
8,HEFT,1049757.8050269291
8,HEFT,1059536.7344079514
8,HEFT,1040772.3776621178
8,HEFT,1061554.167214025
8,HEFT,1035598.5613630477
8,HEFT,1055294.5470580407
8,HEFT,1040508.3887942777
8,HEFT,1036702.8240137476
8,HEFT,1063642.2986540273
8,HEFT,1034932.28002531
8,HEFT,1050992.7633740827
8,HEFT,1054752.395417121
8,HEFT,1043178.3992878756
8,HEFT,1048985.9680358479
8,HEFT,1045266.8087309258
8,HEFT,1038391.04138816
8,HEFT,1042945.990045948
8,HEFT,1038012.3337521572
8,HEFT,1041532.7438691251
8,HEFT,1046281.8614787491
8,HEFT,1036271.1500161715
8,HEFT,1039356.7254093796
8,HEFT,1043959.8248793222
8,HEFT,1063384.111844006
8,HEFT,1035396.5591138478
8,HEFT,1036458.698658495
8,HEFT,1045960.5375342508
8,HEFT,1035645.0768199536
8,HEFT,1039585.9391570105
8,HEFT,1047024.305930001
8,HEFT,1035428.0926890788
8,HEFT,1053380.0411032336
8,HEFT,1046934.8507008048
8,HEFT,1039319.334462462
8,HEFT,1041666.2838405176
8,HEFT,1051894.9138413798
8,HEFT,1044603.6544937306
8,HEFT,1046973.8613636694
8,HEFT,1040745.1764519777
8,HEFT,1043438.5726799859
8,HEFT,1050828.8923293808
8,HEFT,1056523.2689229113
8,HEFT,1048721.3536449515
8,HEFT,1071184.105763585
8,HEFT,1044109.3316437879
8,HEFT,1039685.4751496222
8,HEFT,1040853.4039644682
8,HEFT,1038488.9359184537
8,HEFT,1041646.16779008
8,HEFT,1066146.456801721
8,HEFT,1035390.1286679644
16,HEFT,530495.9983539311
16,HEFT,529447.1853123979
16,HEFT,531117.6222402274
16,HEFT,526305.0334220701
16,HEFT,534083.9972643482
16,HEFT,531957.7430900346
16,HEFT,524677.0301910496
16,HEFT,541432.5842164122
16,HEFT,530020.5322526926
16,HEFT,526787.4378088098
16,HEFT,524560.5266030416
16,HEFT,534367.6196192794
16,HEFT,545519.7484331571
16,HEFT,533033.6628286185
16,HEFT,530408.2843295567
16,HEFT,524727.2575300207
16,HEFT,527232.6434692751
16,HEFT,525149.9012513226
16,HEFT,527969.3044826257
16,HEFT,525979.6097601571
16,HEFT,535634.0804856769
16,HEFT,525699.4508647203
16,HEFT,525633.0418069003
16,HEFT,526940.6592338778
16,HEFT,526275.2795053971
16,HEFT,525755.0470556293
16,HEFT,525809.7147979684
16,HEFT,526929.011313015
16,HEFT,527893.9344696879
16,HEFT,534926.225762057
16,HEFT,523241.2564318071
16,HEFT,527314.3833483956
16,HEFT,534002.1336571793
16,HEFT,534186.7133246654
16,HEFT,545899.5808385692
16,HEFT,523906.9698125369
16,HEFT,534065.075329716
16,HEFT,534553.6114312741
16,HEFT,526290.1204280147
16,HEFT,526916.4358350507
16,HEFT,522286.6457275473
16,HEFT,529296.2997776957
16,HEFT,529252.315827376
16,HEFT,530532.200384766
16,HEFT,523233.4263751077
16,HEFT,528894.9108027649
16,HEFT,527079.0789609124
16,HEFT,531899.6500408453
16,HEFT,529469.1152989861
16,HEFT,525712.5835490215
16,HEFT,523603.2780181174
16,HEFT,531361.9865395494
16,HEFT,528851.5202266747
16,HEFT,536185.4611181706
16,HEFT,533339.6921515879
16,HEFT,523899.9197668625
16,HEFT,529603.1368033246
16,HEFT,526466.5483331243
16,HEFT,531917.9105541732
16,HEFT,523826.5433042765
16,HEFT,525768.091380759
16,HEFT,530790.3382466638
16,HEFT,531523.4940709965
16,HEFT,526008.8265299607
16,HEFT,526797.3121999402
16,HEFT,526262.7935147026
16,HEFT,533712.544561818
16,HEFT,533107.0822276667
16,HEFT,532964.008205677
16,HEFT,544345.1869105003
