,size,planner,makespan,reactive,expected,mpn_snt,rect_snt
956,8,HEFT,158263.3578182651,156269.60883921722,150000.0,8263.357818265096,6269.608839217224
957,8,HEFT,161840.7489456763,161840.7489456763,150000.0,11840.748945676314,11840.748945676314
958,8,HEFT,155455.21544866345,154294.33303728304,150000.0,5455.215448663454,4294.333037283039
959,8,HEFT,154106.18103191993,150743.94629442526,150000.0,4106.181031919958,743.9462944252299
960,8,HEFT,160173.2109087219,159873.24704212506,150000.0,10173.2109087219,9873.247042125062
961,8,HEFT,152964.06367233102,152964.06367233102,150000.0,2964.0636723310163,2964.0636723310163
962,8,HEFT,150983.8498393684,147211.87161950365,150000.0,983.8498393683984,-2788.128380496346
963,8,HEFT,160106.26354632972,160106.26354632972,150000.0,10106.263546329721,10106.263546329721
964,8,HEFT,158025.47846080267,158025.47846080267,150000.0,8025.4784608026375,8025.4784608026375
965,8,HEFT,161028.1508264527,161028.1508264527,150000.0,11028.150826452707,11028.150826452707
966,8,HEFT,164011.86951280793,164011.86951280793,150000.0,14011.869512807927,14011.869512807927
967,8,HEFT,157822.69427646653,150975.06389716745,150000.0,7822.694276466557,975.0638971674488
968,8,HEFT,156941.36502082227,156941.36502082227,150000.0,6941.365020822268,6941.365020822268
969,8,HEFT,163063.69699994448,163063.69699994448,150000.0,13063.696999944485,13063.696999944485
970,8,HEFT,156901.05513460338,156901.05513460338,150000.0,6901.055134603375,6901.055134603375
971,8,HEFT,155945.5884623896,155945.5884623896,150000.0,5945.588462389598,5945.588462389598
972,8,HEFT,165016.71688545606,165016.71688545606,150000.0,15016.71688545603,15016.71688545603
973,8,HEFT,160631.94113254608,158115.10874086161,150000.0,10631.941132546111,8115.108740861586
974,8,HEFT,151627.36400979676,149874.97020269907,150000.0,1627.3640097967582,-125.0297973009292
975,8,HEFT,160636.9289422283,160636.9289422283,150000.0,10636.928942228289,10636.928942228289
976,8,HEFT,150509.67767685058,150509.67767685058,150000.0,509.6776768505806,509.6776768505806
977,8,HEFT,155592.2466197075,150189.26801705125,150000.0,5592.246619707497,189.26801705124672
978,8,HEFT,155522.93695798784,155522.93695798784,150000.0,5522.936957987839,5522.936957987839
979,8,HEFT,163565.10379834974,160695.72157909285,150000.0,13565.103798349737,10695.721579092846
980,8,HEFT,159857.74466822806,159857.74466822806,150000.0,9857.744668228028,9857.744668228028
981,8,HEFT,162995.64225088945,162995.64225088945,150000.0,12995.642250889448,12995.642250889448
982,8,HEFT,162138.42523088594,161235.74561399315,150000.0,12138.425230885972,11235.745613993176
983,8,HEFT,159971.22918199722,157440.52267406535,150000.0,9971.229181997187,7440.522674065373
984,8,HEFT,169472.34914314403,169472.34914314403,150000.0,19472.349143144034,19472.349143144034
985,8,HEFT,153443.90567392448,153443.90567392448,150000.0,3443.905673924513,3443.905673924513
986,8,HEFT,159082.76447340022,156876.20578205428,150000.0,9082.764473400224,6876.205782054283
987,8,HEFT,164135.97913115972,164135.97913115972,150000.0,14135.979131159722,14135.979131159722
988,8,HEFT,159376.57947795265,159376.57947795265,150000.0,9376.579477952648,9376.579477952648
989,8,HEFT,150220.51853839884,146887.1749055651,150000.0,220.51853839884282,-3112.825094434899
990,8,HEFT,170812.87150449952,170812.87150449952,150000.0,20812.87150449952,20812.87150449952
991,8,HEFT,167625.5353616741,167625.5353616741,150000.0,17625.53536167409,17625.53536167409
992,8,HEFT,152882.0187822697,152882.0187822697,150000.0,2882.0187822697044,2882.0187822697044
993,8,HEFT,157404.3185829059,155773.15623194378,150000.0,7404.318582905894,5773.156231943779
994,8,HEFT,152220.98986612994,152220.98986612994,150000.0,2220.9898661299376,2220.9898661299376
995,8,HEFT,157690.11496410053,150995.41739763675,150000.0,7690.114964100532,995.4173976367456
996,8,HEFT,157904.8243777472,154386.9837955183,150000.0,7904.8243777471935,4386.983795518288
997,8,HEFT,161458.37739191434,156455.5646216172,150000.0,11458.377391914373,6455.564621617204
998,8,HEFT,155611.2888538667,155611.2888538667,150000.0,5611.288853866688,5611.288853866688
999,8,HEFT,157159.36635133767,157159.36635133767,150000.0,7159.366351337638,7159.366351337638
1000,16,HEFT,311616.78665058484,309574.5536332044,300000.0,11616.786650584836,9574.553633204427
1001,16,HEFT,307115.61178265186,307115.61178265186,300000.0,7115.611782651859,7115.611782651859
1002,16,HEFT,317321.99970372306,315173.45298837445,300000.0,17321.999703723122,15173.452988374453
1003,16,HEFT,314254.05973563396,314254.05973563396,300000.0,14254.059735634017,14254.059735634017
1004,16,HEFT,311611.80435444077,310126.17502717534,300000.0,11611.804354440828,10126.175027175284
1005,16,HEFT,328853.0120333462,328853.0120333462,300000.0,28853.012033346226,28853.012033346226
1006,16,HEFT,310357.91784956795,310357.91784956795,300000.0,10357.917849567952,10357.917849567952
1007,16,HEFT,309810.6698784113,306712.40231189376,300000.0,9810.669878411281,6712.402311893762
1008,16,HEFT,317148.3633192136,315415.48147324147,300000.0,17148.36331921356,15415.481473241523
1009,16,HEFT,314777.7460618802,312011.69505265803,300000.0,14777.7460618802,12011.695052658033
1010,16,HEFT,318884.47197146155,310652.9066951397,300000.0,18884.47197146155,10652.906695139709
1011,16,HEFT,309513.67399153754,305649.53224065783,300000.0,9513.673991537535,5649.532240657776
1012,16,HEFT,309081.48969884764,308291.15062467736,300000.0,9081.489698847641,8291.150624677422
1013,16,HEFT,325354.88470216753,325354.88470216753,300000.0,25354.88470216753,25354.88470216753
1014,16,HEFT,320030.79114407755,320030.79114407755,300000.0,20030.79114407755,20030.79114407755
1015,16,HEFT,316455.0717061691,315184.74366680323,300000.0,16455.07170616911,15184.743666803233
1016,16,HEFT,318365.9660260604,318365.9660260604,300000.0,18365.9660260604,18365.9660260604
1017,16,HEFT,301794.6437741576,301794.6437741576,300000.0,1794.6437741576226,1794.6437741576226
1018,16,HEFT,318934.8040688733,316741.20190639474,300000.0,18934.804068873287,16741.201906394737
