size,planner,makespan,reactive,expected,mpn_snt,rect_snt
4,HEFT,19398864.570917714,19349121.446627386,19244565.031922005,154299.53899570927,104556.4147053808
4,HEFT,19407283.41972269,19394244.182538204,19244565.031922005,162718.38780068606,149679.15061619878
4,HEFT,19384404.00599,19355775.80378484,19244565.031922005,139838.97406799346,111210.77186283095
4,HEFT,19388664.032521524,19311878.047273204,19244565.031922005,144099.00059951842,67313.01535119861
4,HEFT,19425730.91155592,19425730.91155592,19244565.031922005,181165.87963391468,181165.87963391468
4,HEFT,19447914.646464504,19411133.26196892,19244565.031922005,203349.6145424992,166568.23004691306
4,HEFT,19418289.697798554,19415055.812165976,19244565.031922005,173724.66587654874,170490.78024397045
4,HEFT,19436529.106198683,19406636.39590475,19244565.031922005,191964.07427667824,162071.36398274454
4,HEFT,19413790.332669515,19400683.32891744,19244565.031922005,169225.30074751005,156118.2969954349
4,HEFT,19392682.60615616,19379834.120057266,19244565.031922005,148117.57423415408,135269.0881352611
4,HEFT,19435586.50300441,19422742.01500097,19244565.031922005,191021.47108240426,178176.98307896405
4,HEFT,19384325.398924746,19384325.398924746,19244565.031922005,139760.3670027405,139760.3670027405
4,HEFT,19442357.60137819,19402353.130820774,19244565.031922005,197792.56945618615,157788.09889877215
4,HEFT,19380010.010755893,19375388.3570348,19244565.031922005,135444.97883388773,130823.32511279732
4,HEFT,19397318.26590839,19374171.53379269,19244565.031922005,152753.23398638517,129606.50187068431
4,HEFT,19409737.364924025,19377796.378343727,19244565.031922005,165172.33300201967,133231.34642172232
4,HEFT,19432056.578736324,19408867.620436933,19244565.031922005,187491.54681431875,164302.58851492775
4,HEFT,19377588.67243061,19369972.46050837,19244565.031922005,133023.64050860706,125407.4285863638
4,HEFT,19430184.85059688,19430184.85059688,19244565.031922005,185619.8186748736,185619.8186748736
4,HEFT,19447297.23026883,19426261.22594272,19244565.031922005,202732.19834682342,181696.1940207146
4,HEFT,19407166.22366112,19397974.12388052,19244565.031922005,162601.19173911214,153409.09195851535
4,HEFT,19478142.81767652,19449908.180096466,19244565.031922005,233577.785754513,205343.14817446095
4,HEFT,19498701.725762747,19488139.5137383,19244565.031922005,254136.6938407421,243574.48181629553
4,HEFT,19541865.637373827,19541865.637373827,19244565.031922005,297300.6054518223,297300.6054518223
4,HEFT,19300782.34629444,19297887.03055955,19244565.031922005,56217.31437243149,53321.99863754586
4,HEFT,19377118.49673464,19375018.5458155,19244565.031922005,132553.46481263265,130453.51389349625
4,HEFT,19301651.519390784,19289607.134463504,19244565.031922005,57086.487468779094,45042.10254149884
4,HEFT,19371266.06169388,19329846.770336334,19244565.031922005,126701.0297718756,85281.73841433227
4,HEFT,19506190.613433324,19486194.055425186,19244565.031922005,261625.5815113187,241629.02350317693
4,HEFT,19493702.448552832,19485806.671553656,19244565.031922005,249137.41663082692,241241.63963165128
4,HEFT,19378464.23370884,19353639.543409474,19244565.031922005,133899.20178683102,109074.51148746908
4,HEFT,19461648.429474644,19451267.26162585,19244565.031922005,217083.39755263925,206702.22970384726
4,HEFT,19484940.96319504,19480729.7547268,19244565.031922005,240375.9312730357,236164.72280479225
4,HEFT,19401480.08607125,19365164.57033074,19244565.031922005,156915.05414924398,120599.5384087339
4,HEFT,19403661.507150047,19378384.23647832,19244565.031922005,159096.4752280414,133819.20455631617
4,HEFT,19403910.996312395,19390518.24414982,19244565.031922005,159345.96439038962,145953.2122278139
4,HEFT,19360235.29989425,19344937.10043624,19244565.031922005,115670.26797224955,100372.0685142316
4,HEFT,19440126.87150558,19440126.87150558,19244565.031922005,195561.83958357575,195561.83958357575
4,HEFT,19455950.57992267,19450111.41358728,19244565.031922005,211385.54800066352,205546.3816652745
4,HEFT,19337464.86927527,19337464.86927527,19244565.031922005,92899.83735326305,92899.83735326305
4,HEFT,19388031.97800366,19350873.66020273,19244565.031922005,143466.94608165324,106308.62828072533
4,HEFT,19390676.13424548,19370270.18710633,19244565.031922005,146111.10232347625,125705.15518432485
4,HEFT,19390335.65519044,19368234.53311166,19244565.031922005,145770.62326843292,123669.50118965654
4,HEFT,19436671.109222963,19419410.318630833,19244565.031922005,192106.07730095836,174845.28670882803
4,HEFT,19385169.88400772,19358879.437802143,19244565.031922005,140604.8520857133,114314.40588013828
4,HEFT,19381390.300086293,19376846.97672349,19244565.031922005,136825.26816428825,132281.9448014833
4,HEFT,19379602.985791206,19371503.810279515,19244565.031922005,135037.95386919752,126938.77835750954
4,HEFT,19417708.51669083,19414077.43652381,19244565.031922005,173143.4847688265,169512.4046018049
4,HEFT,19501361.237393934,19462262.18374578,19244565.031922005,256796.20547192922,217697.15182377398
4,HEFT,19394987.096352257,19364908.514370896,19244565.031922005,150422.06443025172,120343.4824488908
4,HEFT,19394133.71296411,19382945.95547572,19244565.031922005,149568.68104210493,138380.92355371267
4,HEFT,19463261.967038505,19456829.112329733,19244565.031922005,218696.9351164997,212264.0804077275
4,HEFT,19394923.58541726,19387478.229855426,19244565.031922005,150358.55349525437,142913.19793342054
4,HEFT,19463233.223212674,19439084.21333713,19244565.031922005,218668.19129066914,194519.18141512945
4,HEFT,19453403.18433951,19405344.551370125,19244565.031922005,208838.15241750327,160779.51944812015
4,HEFT,19443982.662939887,19410047.554278545,19244565.031922005,199417.63101788238,165482.52235653994
4,HEFT,19343159.589899626,19294935.484966226,19244565.031922005,98594.5579776168,50370.45304421708
4,HEFT,19365406.394737087,19357219.86434054,19244565.031922005,120841.36281508207,112654.8324185349
4,HEFT,19399413.530658014,19387477.84771533,19244565.031922005,154848.49873601273,142912.81579332426
4,HEFT,19356429.77612792,19355188.49828299,19244565.031922005,111864.74420591444,110623.46636098623
4,HEFT,19428289.922691725,19422354.96204584,19244565.031922005,183724.89076972008,177789.93012383208
4,HEFT,19366895.1825208,19366895.1825208,19244565.031922005,122330.15059879422,122330.15059879422
4,HEFT,19413657.835020985,19413657.835020985,19244565.031922005,169092.80309898034,169092.80309898034
4,HEFT,19429682.90805493,19429682.90805493,19244565.031922005,185117.8761329241,185117.8761329241
4,HEFT,19458502.725595184,19443016.166173857,19244565.031922005,213937.69367317852,198451.1342518516
4,HEFT,19530882.115419794,19509176.1450904,19244565.031922005,286317.0834977888,264611.11316839233
4,HEFT,19415499.65522044,19390151.19347433,19244565.031922005,170934.62329843268,145586.1615523249
4,HEFT,19491279.82260471,19476783.768885408,19244565.031922005,246714.7906827033,232218.7369634025
4,HEFT,19483801.83842645,19480812.07901907,19244565.031922005,239236.8065044433,236247.0470970645
4,HEFT,19432441.272076286,19422314.033364728,19244565.031922005,187876.2401542813,177749.00144272298
4,HEFT,19355932.3838073,19338133.231113017,19244565.031922005,111367.3518852964,93568.19919101149
4,HEFT,19439474.066534813,19427906.529240366,19244565.031922005,194909.0346128121,183341.49731836093
4,HEFT,19465902.114897564,19465902.114897564,19244565.031922005,221337.0829755589,221337.0829755589
4,HEFT,19469685.885815013,19469685.885815013,19244565.031922005,225120.85389300808,225120.85389300808
4,HEFT,19484840.71195684,19460279.763483133,19244565.031922005,240275.6800348349,215714.73156112805
4,HEFT,19373014.065102648,19373014.065102648,19244565.031922005,128449.03318064287,128449.03318064287
4,HEFT,19393787.49095529,19376967.306078266,19244565.031922005,149222.45903328437,132402.2741562575
4,HEFT,19367152.696615856,19367152.696615856,19244565.031922005,122587.66469385101,122587.66469385101
4,HEFT,19384572.31013406,19372756.132646285,19244565.031922005,140007.27821205553,128191.10072427988
4,HEFT,19462600.336320627,19446903.265811834,19244565.031922005,218035.3043986224,202338.23388982934
4,HEFT,19386955.9680586,19379398.922088973,19244565.031922005,142390.93613659218,134833.89016697186
4,HEFT,19393954.94690812,19358031.094756,19244565.031922005,149389.91498611122,113466.06283399464
4,HEFT,19410410.45386137,19382321.384497724,19244565.031922005,165845.42193936554,137756.35257571936
4,HEFT,19323900.261301316,19289194.670747753,19244565.031922005,79335.22937930746,44629.638825748116
4,HEFT,19395689.451441824,19395689.451441824,19244565.031922005,151124.41951981932,151124.41951981932
4,HEFT,19528613.743814174,19498118.33876936,19244565.031922005,284048.71189216897,253553.30684735626
4,HEFT,19456518.236838873,19393851.011423506,19244565.031922005,211953.2049168684,149285.97950150073
4,HEFT,19348677.88944652,19281367.91324115,19244565.031922005,104112.8575245142,36802.8813191466
4,HEFT,19459468.34816443,19459468.34816443,19244565.031922005,214903.31624242663,214903.31624242663
4,HEFT,19303759.777630664,19294209.99616388,19244565.031922005,59194.745708659284,49644.964241873466
4,HEFT,19437951.569576386,19434019.25939156,19244565.031922005,193386.53765437755,189454.22746955606
4,HEFT,19406117.13018675,19390159.153334305,19244565.031922005,161552.09826474634,145594.12141229954
4,HEFT,19412586.942659654,19407488.56762852,19244565.031922005,168021.9107376486,162923.53570651266
4,HEFT,19344082.248036254,19331637.47946032,19244565.031922005,99517.21611424908,87072.44753831625
4,HEFT,19406196.0345406,19406196.0345406,19244565.031922005,161631.00261859223,161631.00261859223
4,HEFT,19399231.518730983,19366949.234153464,19244565.031922005,154666.48680897802,122384.20223145932
