planner,size,freqs
RAND,4,274.0
RAND,4,280.0
RAND,4,272.0
RAND,4,272.0
RAND,4,275.0
RAND,4,269.0
RAND,4,263.0
RAND,4,265.0
RAND,4,274.0
RAND,4,278.0
RAND,4,274.0
RAND,4,290.0
RAND,4,271.0
RAND,4,267.0
RAND,4,273.0
RAND,4,278.0
RAND,4,278.0
RAND,4,274.0
RAND,4,267.0
RAND,4,275.0
RAND,4,270.0
RAND,4,271.0
RAND,4,263.0
RAND,4,262.0
RAND,4,261.0
RAND,4,259.0
RAND,4,286.0
RAND,4,285.0
RAND,4,284.0
RAND,4,272.0
RAND,4,266.0
RAND,4,273.0
RAND,4,264.0
RAND,4,274.0
RAND,4,276.0
RAND,4,270.0
RAND,4,282.0
RAND,4,280.0
RAND,4,291.0
RAND,4,267.0
RAND,4,282.0
RAND,4,273.0
RAND,4,279.0
RAND,4,273.0
RAND,4,281.0
RAND,4,290.0
RAND,4,283.0
RAND,4,263.0
RAND,4,285.0
RAND,4,265.0
RAND,4,267.0
RAND,4,264.0
RAND,4,266.0
RAND,4,271.0
RAND,4,277.0
RAND,4,268.0
RAND,4,269.0
RAND,4,263.0
RAND,4,265.0
RAND,4,291.0
RAND,4,266.0
RAND,4,283.0
RAND,4,271.0
RAND,4,269.0
RAND,4,264.0
RAND,4,261.0
RAND,4,265.0
RAND,4,288.0
RAND,4,276.0
RAND,4,262.0
RAND,4,287.0
RAND,4,274.0
RAND,4,266.0
RAND,4,261.0
RAND,4,260.0
RAND,4,263.0
RAND,4,263.0
RAND,4,288.0
RAND,4,274.0
RAND,4,266.0
RAND,4,274.0
RAND,4,274.0
RAND,4,275.0
RAND,4,272.0
RAND,4,290.0
RAND,4,266.0
RAND,4,279.0
RAND,4,275.0
RAND,4,266.0
RAND,4,268.0
RAND,4,266.0
RAND,4,268.0
RAND,4,263.0
RAND,4,264.0
RAND,4,285.0
RAND,4,283.0
RAND,4,271.0
RAND,4,268.0
RAND,4,276.0
RAND,4,269.0
RAND,4,279.0
RAND,4,267.0
RAND,4,263.0
RAND,4,270.0
RAND,4,261.0
RAND,4,273.0
RAND,4,283.0
RAND,4,259.0
RAND,4,276.0
RAND,4,265.0
RAND,4,267.0
RAND,4,266.0
RAND,4,264.0
RAND,4,270.0
RAND,4,267.0
RAND,4,267.0
RAND,4,276.0
RAND,4,271.0
RAND,4,270.0
RAND,4,273.0
RAND,4,264.0
RAND,4,277.0
RAND,4,269.0
RAND,4,279.0
RAND,4,274.0
RAND,4,267.0
RAND,4,272.0
RAND,4,275.0
RAND,4,275.0
RAND,4,267.0
RAND,4,271.0
RAND,4,274.0
RAND,4,262.0
RAND,4,274.0
RAND,4,264.0
RAND,4,266.0
RAND,4,288.0
RAND,4,268.0
RAND,4,271.0
RAND,4,280.0
RAND,4,265.0
RAND,4,260.0
RAND,4,282.0
RAND,4,269.0
RAND,4,272.0
RAND,4,268.0
RAND,4,277.0
RAND,4,266.0
RAND,4,288.0
RAND,4,270.0
RAND,4,259.0
RAND,4,266.0
RAND,4,266.0
RAND,4,266.0
RAND,4,285.0
RAND,4,270.0
RAND,4,277.0
RAND,4,285.0
RAND,4,275.0
RAND,4,263.0
RAND,4,265.0
RAND,4,295.0
RAND,4,278.0
RAND,4,291.0
RAND,4,271.0
RAND,4,272.0
RAND,4,261.0
RAND,4,268.0
RAND,4,285.0
RAND,4,275.0
RAND,4,281.0
RAND,4,285.0
RAND,4,268.0
RAND,4,269.0
RAND,4,285.0
RAND,4,268.0
RAND,4,261.0
RAND,4,274.0
RAND,4,282.0
RAND,4,267.0
RAND,4,272.0
RAND,4,280.0
RAND,4,259.0
RAND,4,268.0
RAND,4,285.0
RAND,4,289.0
RAND,4,260.0
RAND,4,271.0
RAND,4,288.0
RAND,4,272.0
RAND,4,277.0
RAND,4,275.0
RAND,4,262.0
RAND,4,283.0
RAND,4,267.0
RAND,4,268.0
RAND,4,269.0
RAND,4,292.0
RAND,4,269.0
RAND,4,264.0
RAND,4,272.0
RAND,4,268.0
RAND,4,274.0
RAND,4,266.0
RAND,4,274.0
RAND,4,290.0
RAND,4,262.0
RAND,4,271.0
RAND,4,284.0
RAND,4,274.0
RAND,4,270.0
RAND,4,280.0
RAND,4,271.0
RAND,4,274.0
RAND,4,265.0
RAND,4,291.0
RAND,4,280.0
RAND,4,268.0
RAND,4,274.0
RAND,4,267.0
RAND,4,272.0
RAND,4,273.0
RAND,4,281.0
RAND,4,270.0
RAND,4,287.0
RAND,4,270.0
RAND,4,280.0
RAND,4,267.0
RAND,4,269.0
RAND,4,271.0
RAND,4,278.0
RAND,4,273.0
RAND,4,274.0
RAND,4,282.0
RAND,4,266.0
RAND,4,268.0
RAND,4,273.0
RAND,4,285.0
RAND,4,287.0
RAND,4,265.0
RAND,4,277.0
RAND,4,271.0
RAND,4,278.0
RAND,4,287.0
RAND,4,278.0
RAND,4,271.0
RAND,4,271.0
RAND,4,267.0
RAND,4,283.0
RAND,4,279.0
RAND,4,275.0
RAND,4,264.0
RAND,4,270.0
RAND,4,273.0
RAND,4,262.0
RAND,4,266.0
RAND,4,283.0
RAND,4,269.0
RAND,4,269.0
RAND,4,273.0
RAND,4,268.0
RAND,4,277.0
RAND,4,276.0
RAND,4,263.0
RAND,4,268.0
RAND,4,268.0
RAND,4,274.0
RAND,4,278.0
RAND,4,266.0
RAND,4,268.0
RAND,4,265.0
RAND,4,269.0
RAND,4,278.0
RAND,4,278.0
RAND,4,276.0
RAND,4,265.0
RAND,4,270.0
RAND,4,264.0
RAND,4,275.0
RAND,4,285.0
RAND,4,273.0
RAND,4,276.0
RAND,4,289.0
RAND,4,267.0
RAND,4,278.0
RAND,4,259.0
RAND,4,285.0
RAND,4,279.0
RAND,4,272.0
RAND,4,264.0
RAND,4,262.0
RAND,4,281.0
RAND,4,269.0
RAND,4,271.0
RAND,4,276.0
RAND,4,277.0
RAND,4,267.0
RAND,4,265.0
RAND,4,276.0
RAND,4,269.0
RAND,4,280.0
RAND,4,267.0
RAND,4,276.0
RAND,4,275.0
RAND,4,263.0
RAND,4,265.0
RAND,4,266.0
RAND,4,268.0
RAND,4,265.0
RAND,4,270.0
RAND,4,282.0
RAND,4,267.0
RAND,4,271.0
RAND,4,265.0
RAND,4,295.0
RAND,4,270.0
RAND,4,280.0
RAND,4,279.0
RAND,4,269.0
RAND,4,265.0
RAND,4,271.0
RAND,4,268.0
RAND,4,276.0
RAND,4,272.0
RAND,4,263.0
RAND,4,270.0
RAND,4,262.0
RAND,4,263.0
RAND,4,283.0
RAND,4,273.0
RAND,4,267.0
RAND,4,260.0
RAND,4,266.0
RAND,4,276.0
RAND,4,261.0
RAND,4,263.0
RAND,4,275.0
RAND,4,278.0
RAND,4,265.0
RAND,4,270.0
RAND,4,275.0
RAND,4,272.0
RAND,4,273.0
RAND,4,260.0
RAND,4,272.0
RAND,4,273.0
RAND,4,290.0
RAND,4,268.0
RAND,4,258.0
RAND,4,277.0
RAND,4,279.0
RAND,4,278.0
RAND,4,268.0
RAND,4,267.0
RAND,4,273.0
RAND,4,282.0
RAND,4,270.0
RAND,4,276.0
RAND,4,269.0
RAND,4,284.0
RAND,4,277.0
RAND,4,284.0
RAND,4,266.0
RAND,4,270.0
RAND,4,296.0
RAND,4,291.0
RAND,4,270.0
RAND,4,263.0
RAND,4,269.0
RAND,4,274.0
RAND,4,283.0
RAND,4,270.0
RAND,4,269.0
RAND,4,270.0
RAND,4,266.0
RAND,4,276.0
RAND,4,264.0
RAND,4,268.0
RAND,4,272.0
RAND,4,293.0
RAND,4,265.0
RAND,4,281.0
RAND,4,271.0
RAND,4,270.0
RAND,4,283.0
RAND,4,260.0
RAND,4,282.0
RAND,4,288.0
RAND,4,266.0
RAND,4,274.0
RAND,4,281.0
RAND,4,269.0
RAND,4,283.0
RAND,4,265.0
RAND,4,263.0
RAND,4,270.0
RAND,4,293.0
RAND,4,264.0
RAND,4,270.0
RAND,4,281.0
RAND,4,271.0
RAND,4,259.0
RAND,4,266.0
RAND,4,277.0
RAND,4,276.0
RAND,4,265.0
RAND,4,263.0
RAND,4,265.0
RAND,4,285.0
RAND,4,282.0
RAND,4,284.0
RAND,4,266.0
RAND,4,265.0
RAND,4,292.0
RAND,4,274.0
RAND,4,263.0
RAND,4,265.0
RAND,4,279.0
RAND,4,266.0
RAND,4,280.0
RAND,4,264.0
RAND,4,288.0
RAND,4,272.0
RAND,4,278.0
RAND,4,269.0
RAND,4,263.0
RAND,4,265.0
RAND,4,271.0
RAND,4,263.0
RAND,4,277.0
RAND,4,269.0
RAND,4,286.0
RAND,4,272.0
RAND,4,272.0
RAND,4,273.0
RAND,4,264.0
RAND,4,262.0
RAND,4,269.0
RAND,4,270.0
RAND,4,266.0
RAND,4,281.0
RAND,4,261.0
RAND,4,264.0
RAND,4,277.0
RAND,4,284.0
RAND,4,271.0
RAND,4,266.0
RAND,4,265.0
RAND,4,280.0
RAND,4,281.0
RAND,4,297.0
RAND,4,262.0
RAND,4,269.0
RAND,4,267.0
RAND,4,273.0
RAND,4,275.0
RAND,4,268.0
RAND,4,260.0
RAND,4,273.0
RAND,4,287.0
RAND,4,281.0
RAND,4,265.0
RAND,4,279.0
RAND,4,269.0
RAND,4,263.0
RAND,4,279.0
RAND,4,269.0
RAND,4,272.0
RAND,4,263.0
RAND,4,284.0
RAND,4,271.0
RAND,4,282.0
RAND,4,264.0
RAND,4,266.0
RAND,4,271.0
RAND,4,274.0
RAND,4,277.0
RAND,4,271.0
RAND,4,286.0
RAND,4,277.0
RAND,4,277.0
RAND,4,268.0
RAND,4,272.0
RAND,4,277.0
RAND,4,261.0
RAND,4,280.0
RAND,4,273.0
RAND,4,265.0
RAND,4,262.0
RAND,4,268.0
RAND,4,262.0
RAND,4,271.0
RAND,4,265.0
RAND,4,275.0
RAND,4,269.0
RAND,4,272.0
RAND,4,267.0
RAND,4,265.0
RAND,4,282.0
RAND,4,266.0
RAND,4,275.0
RAND,4,276.0
RAND,4,263.0
RAND,4,277.0
RAND,4,290.0
RAND,4,261.0
RAND,4,267.0
RAND,4,274.0
RAND,4,269.0
RAND,4,273.0
RAND,4,271.0
RAND,4,287.0
RAND,4,261.0
RAND,4,291.0
RAND,4,263.0
RAND,4,266.0
RAND,4,264.0
RAND,4,274.0
RAND,4,285.0
RAND,4,272.0
RAND,4,291.0
RAND,4,278.0
RAND,4,272.0
RAND,4,287.0
RAND,4,280.0
RAND,4,277.0
RAND,4,261.0
RAND,4,268.0
RAND,4,273.0
RAND,4,291.0
RAND,4,277.0
RAND,4,266.0
RAND,4,269.0
RAND,4,261.0
RAND,4,265.0
RAND,4,277.0
RAND,4,271.0
RAND,4,267.0
RAND,4,270.0
RAND,4,262.0
RAND,4,262.0
RAND,4,269.0
RAND,4,266.0
RAND,4,281.0
RAND,4,278.0
RAND,4,267.0
RAND,4,267.0
RAND,4,266.0
RAND,4,271.0
RAND,4,282.0
RAND,4,278.0
RAND,4,279.0
RAND,4,286.0
RAND,4,272.0
RAND,4,261.0
RAND,4,270.0
RAND,4,281.0
RAND,4,277.0
RAND,4,269.0
RAND,4,269.0
RAND,4,271.0
RAND,4,260.0
RAND,4,273.0
RAND,4,273.0
RAND,4,262.0
RAND,4,267.0
RAND,4,273.0
RAND,4,271.0
RAND,4,284.0
RAND,4,279.0
RAND,4,264.0
RAND,4,267.0
RAND,4,291.0
RAND,4,272.0
RAND,4,277.0
RAND,4,278.0
RAND,4,267.0
RAND,4,302.0
RAND,4,262.0
RAND,4,261.0
RAND,4,279.0
RAND,4,263.0
RAND,4,277.0
RAND,4,283.0
RAND,4,287.0
RAND,4,268.0
RAND,4,261.0
RAND,4,262.0
RAND,4,271.0
RAND,4,278.0
RAND,4,293.0
RAND,4,292.0
RAND,4,269.0
RAND,4,285.0
RAND,4,268.0
RAND,4,273.0
RAND,4,263.0
RAND,4,277.0
RAND,4,269.0
RAND,4,270.0
RAND,4,285.0
RAND,4,269.0
RAND,4,271.0
RAND,4,271.0
RAND,4,268.0
RAND,4,287.0
RAND,4,285.0
RAND,4,259.0
RAND,4,272.0
RAND,4,272.0
RAND,4,267.0
RAND,4,266.0
RAND,4,271.0
RAND,4,281.0
RAND,4,280.0
RAND,4,279.0
RAND,4,272.0
RAND,4,288.0
RAND,4,269.0
RAND,4,269.0
RAND,4,263.0
RAND,4,268.0
RAND,4,262.0
RAND,4,304.0
RAND,4,272.0
RAND,4,262.0
RAND,4,263.0
RAND,4,266.0
RAND,4,281.0
RAND,4,283.0
RAND,4,276.0
RAND,4,297.0
RAND,4,272.0
RAND,4,271.0
RAND,4,276.0
RAND,4,287.0
RAND,4,269.0
RAND,4,276.0
RAND,4,272.0
RAND,4,271.0
RAND,4,262.0
RAND,4,278.0
RAND,4,288.0
RAND,4,279.0
RAND,4,275.0
RAND,4,266.0
RAND,4,285.0
RAND,4,262.0
RAND,4,271.0
RAND,4,283.0
RAND,4,284.0
RAND,4,260.0
RAND,4,270.0
RAND,4,268.0
RAND,4,272.0
RAND,4,279.0
RAND,4,274.0
RAND,4,282.0
RAND,4,270.0
RAND,4,265.0
RAND,4,264.0
RAND,4,278.0
RAND,4,268.0
RAND,4,268.0
RAND,4,268.0
RAND,4,288.0
RAND,4,258.0
RAND,4,263.0
RAND,4,280.0
RAND,4,288.0
RAND,4,259.0
RAND,4,273.0
RAND,4,267.0
RAND,4,260.0
RAND,4,269.0
RAND,4,265.0
RAND,4,265.0
RAND,4,283.0
RAND,4,269.0
RAND,4,258.0
RAND,4,269.0
RAND,4,273.0
RAND,4,263.0
RAND,4,271.0
RAND,4,269.0
RAND,4,280.0
RAND,4,274.0
RAND,4,275.0
RAND,4,265.0
RAND,4,277.0
RAND,4,276.0
RAND,4,274.0
RAND,4,271.0
RAND,4,277.0
RAND,4,267.0
RAND,4,266.0
RAND,4,262.0
RAND,4,265.0
RAND,4,272.0
RAND,4,264.0
RAND,4,265.0
RAND,4,268.0
RAND,4,268.0
RAND,4,277.0
RAND,4,273.0
RAND,4,267.0
RAND,4,274.0
RAND,4,285.0
RAND,4,281.0
RAND,4,290.0
RAND,4,269.0
RAND,4,282.0
RAND,4,267.0
RAND,4,274.0
RAND,4,278.0
RAND,4,273.0
RAND,4,264.0
RAND,4,283.0
RAND,4,277.0
RAND,4,286.0
RAND,4,277.0
RAND,4,287.0
RAND,4,274.0
RAND,4,280.0
RAND,4,266.0
RAND,4,268.0
RAND,4,261.0
RAND,4,272.0
RAND,4,263.0
RAND,4,262.0
RAND,4,275.0
RAND,4,280.0
RAND,4,271.0
RAND,4,272.0
RAND,4,262.0
RAND,4,298.0
RAND,8,152.0
RAND,8,145.0
RAND,8,150.0
RAND,8,140.0
RAND,8,157.0
RAND,8,133.0
RAND,8,144.0
RAND,8,152.0
RAND,8,135.0
RAND,8,145.0
RAND,8,148.0
RAND,8,160.0
RAND,8,153.0
RAND,8,138.0
RAND,8,148.0
RAND,8,154.0
RAND,8,137.0
RAND,8,140.0
RAND,8,142.0
RAND,8,141.0
RAND,8,156.0
RAND,8,135.0
RAND,8,146.0
RAND,8,141.0
RAND,8,142.0
RAND,8,146.0
RAND,8,145.0
RAND,8,146.0
RAND,8,144.0
RAND,8,143.0
RAND,8,136.0
RAND,8,142.0
RAND,8,150.0
RAND,8,140.0
RAND,8,137.0
RAND,8,140.0
RAND,8,134.0
RAND,8,138.0
RAND,8,155.0
RAND,8,164.0
RAND,8,149.0
RAND,8,147.0
RAND,8,150.0
RAND,8,138.0
RAND,8,142.0
RAND,8,150.0
RAND,8,163.0
RAND,8,142.0
RAND,8,141.0
RAND,8,149.0
RAND,8,145.0
RAND,8,143.0
RAND,8,148.0
RAND,8,147.0
RAND,8,136.0
RAND,8,144.0
RAND,8,145.0
RAND,8,138.0
RAND,8,140.0
RAND,8,142.0
RAND,8,149.0
RAND,8,146.0
RAND,8,150.0
RAND,8,137.0
RAND,8,144.0
RAND,8,146.0
RAND,8,147.0
RAND,8,148.0
RAND,8,145.0
RAND,8,140.0
RAND,8,137.0
RAND,8,136.0
RAND,8,142.0
RAND,8,140.0
RAND,8,150.0
RAND,8,140.0
RAND,8,137.0
RAND,8,142.0
RAND,8,148.0
RAND,8,138.0
RAND,8,160.0
RAND,8,135.0
RAND,8,150.0
RAND,8,142.0
RAND,8,153.0
RAND,8,150.0
RAND,8,143.0
RAND,8,139.0
RAND,8,136.0
RAND,8,146.0
RAND,8,147.0
RAND,8,152.0
RAND,8,143.0
RAND,8,146.0
RAND,8,140.0
RAND,8,145.0
RAND,8,152.0
RAND,8,152.0
RAND,8,139.0
RAND,8,139.0
RAND,8,137.0
RAND,8,145.0
RAND,8,148.0
RAND,8,141.0
RAND,8,145.0
RAND,8,136.0
RAND,8,137.0
RAND,8,146.0
RAND,8,146.0
RAND,8,151.0
RAND,8,157.0
RAND,8,137.0
RAND,8,138.0
RAND,8,142.0
RAND,8,137.0
RAND,8,139.0
RAND,8,142.0
RAND,8,149.0
RAND,8,148.0
RAND,8,144.0
RAND,8,135.0
RAND,8,143.0
RAND,8,149.0
RAND,8,142.0
RAND,8,138.0
RAND,8,142.0
RAND,8,146.0
RAND,8,138.0
RAND,8,140.0
RAND,8,148.0
RAND,8,147.0
RAND,8,149.0
RAND,8,151.0
RAND,8,139.0
RAND,8,137.0
RAND,8,148.0
RAND,8,141.0
RAND,8,142.0
RAND,8,143.0
RAND,8,147.0
RAND,8,150.0
RAND,8,140.0
RAND,8,149.0
RAND,8,144.0
RAND,8,144.0
RAND,8,155.0
RAND,8,138.0
RAND,8,143.0
RAND,8,148.0
RAND,8,145.0
RAND,8,140.0
RAND,8,138.0
RAND,8,139.0
RAND,8,145.0
RAND,8,137.0
RAND,8,148.0
RAND,8,149.0
RAND,8,147.0
RAND,8,147.0
RAND,8,137.0
RAND,8,144.0
RAND,8,136.0
RAND,8,147.0
RAND,8,150.0
RAND,8,142.0
RAND,8,135.0
RAND,8,141.0
RAND,8,142.0
RAND,8,144.0
RAND,8,140.0
RAND,8,149.0
RAND,8,140.0
RAND,8,149.0
RAND,8,157.0
RAND,8,147.0
RAND,8,136.0
RAND,8,138.0
RAND,8,153.0
RAND,8,145.0
RAND,8,147.0
RAND,8,146.0
RAND,8,139.0
RAND,8,157.0
RAND,8,140.0
RAND,8,144.0
RAND,8,137.0
RAND,8,138.0
RAND,8,144.0
RAND,8,152.0
RAND,8,138.0
RAND,8,138.0
RAND,8,145.0
RAND,8,138.0
RAND,8,140.0
RAND,8,147.0
RAND,8,139.0
RAND,8,140.0
RAND,8,155.0
RAND,8,135.0
RAND,8,157.0
RAND,8,143.0
RAND,8,135.0
RAND,8,143.0
RAND,8,152.0
RAND,8,137.0
RAND,8,153.0
RAND,8,156.0
RAND,8,139.0
RAND,8,151.0
RAND,8,145.0
RAND,8,148.0
RAND,8,141.0
RAND,8,143.0
RAND,8,149.0
RAND,8,143.0
RAND,8,143.0
RAND,8,137.0
RAND,8,135.0
RAND,8,143.0
RAND,8,148.0
RAND,8,138.0
RAND,8,139.0
RAND,8,144.0
RAND,8,137.0
RAND,8,145.0
RAND,8,157.0
RAND,8,138.0
RAND,8,145.0
RAND,8,133.0
RAND,8,139.0
RAND,8,152.0
RAND,8,136.0
RAND,8,144.0
RAND,8,141.0
RAND,8,139.0
RAND,8,148.0
RAND,8,157.0
RAND,8,135.0
RAND,8,155.0
RAND,8,144.0
RAND,8,151.0
RAND,8,148.0
RAND,8,144.0
RAND,8,145.0
RAND,8,152.0
RAND,8,135.0
RAND,8,143.0
RAND,8,138.0
RAND,8,140.0
RAND,8,137.0
RAND,8,138.0
RAND,8,140.0
RAND,8,137.0
RAND,8,154.0
RAND,8,161.0
RAND,8,151.0
RAND,8,150.0
RAND,8,141.0
RAND,8,149.0
RAND,8,148.0
RAND,8,138.0
RAND,8,150.0
RAND,8,153.0
RAND,8,144.0
RAND,8,142.0
RAND,8,144.0
RAND,8,142.0
RAND,8,143.0
RAND,8,143.0
RAND,8,141.0
RAND,8,151.0
RAND,8,149.0
RAND,8,142.0
RAND,8,135.0
RAND,8,140.0
RAND,8,152.0
RAND,8,150.0
RAND,8,145.0
RAND,8,144.0
RAND,8,145.0
RAND,8,138.0
RAND,8,143.0
RAND,8,134.0
RAND,8,146.0
RAND,8,142.0
RAND,8,152.0
RAND,8,159.0
RAND,8,137.0
RAND,8,136.0
RAND,8,142.0
RAND,8,144.0
RAND,8,144.0
RAND,8,142.0
RAND,8,143.0
RAND,8,151.0
RAND,8,144.0
RAND,8,139.0
RAND,8,144.0
RAND,8,147.0
RAND,8,142.0
RAND,8,148.0
RAND,8,138.0
RAND,8,138.0
RAND,8,144.0
RAND,8,146.0
RAND,8,143.0
RAND,8,147.0
RAND,8,142.0
RAND,8,146.0
RAND,8,135.0
RAND,8,141.0
RAND,8,139.0
RAND,8,139.0
RAND,8,143.0
RAND,8,169.0
RAND,8,144.0
RAND,8,140.0
RAND,8,147.0
RAND,8,138.0
RAND,8,140.0
RAND,8,138.0
RAND,8,141.0
RAND,8,143.0
RAND,8,141.0
RAND,8,145.0
RAND,8,146.0
RAND,8,155.0
RAND,8,146.0
RAND,8,136.0
RAND,8,144.0
RAND,8,152.0
RAND,8,145.0
RAND,8,142.0
RAND,8,140.0
RAND,8,144.0
RAND,8,142.0
RAND,8,153.0
RAND,8,150.0
RAND,8,142.0
RAND,8,155.0
RAND,8,148.0
RAND,8,137.0
RAND,8,148.0
RAND,8,140.0
RAND,8,145.0
RAND,8,145.0
RAND,8,150.0
RAND,8,153.0
RAND,8,142.0
RAND,8,141.0
RAND,8,164.0
RAND,8,147.0
RAND,8,149.0
RAND,8,143.0
RAND,8,149.0
RAND,8,136.0
RAND,8,145.0
RAND,8,142.0
RAND,8,145.0
RAND,8,146.0
RAND,8,136.0
RAND,8,141.0
RAND,8,144.0
RAND,8,140.0
RAND,8,145.0
RAND,8,145.0
RAND,8,140.0
RAND,8,147.0
RAND,8,153.0
RAND,8,149.0
RAND,8,144.0
RAND,8,141.0
RAND,8,143.0
RAND,8,135.0
RAND,8,136.0
RAND,8,144.0
RAND,8,147.0
RAND,8,138.0
RAND,8,150.0
RAND,8,138.0
RAND,8,148.0
RAND,8,138.0
RAND,8,137.0
RAND,8,142.0
RAND,8,152.0
RAND,8,140.0
RAND,8,145.0
RAND,8,141.0
RAND,8,143.0
RAND,8,139.0
RAND,8,139.0
RAND,8,141.0
RAND,8,139.0
RAND,8,145.0
RAND,8,139.0
RAND,8,135.0
RAND,8,138.0
RAND,8,159.0
