size,planner,makespan,time
4,RANDOM,175342.65902587946,2.598762512207031e-05
4,RANDOM,58657.511962373705,2.7179718017578125e-05
4,RANDOM,175342.65902587946,2.8133392333984368e-05
4,RANDOM,59090.79608833304,2.6226043701171875e-05
4,RANDOM,59090.79608833304,2.598762512207031e-05
4,RANDOM,59090.79608833304,2.694129943847656e-05
4,RANDOM,59090.79608833304,3.576278686523437e-05
4,RANDOM,117748.30805070676,3.0994415283203125e-05
4,RANDOM,52352.56100541416,4.482269287109375e-05
4,RANDOM,27628.538243147043,3.4809112548828125e-05
4,RANDOM,24658.814966318267,3.0994415283203125e-05
4,RANDOM,122990.09802046527,3.2901763916015625e-05
8,RANDOM,175754.83828978517,4.410743713378906e-05
8,RANDOM,167995.81848474895,8.082389831542969e-05
8,RANDOM,116664.0422014521,4.673004150390625e-05
8,RANDOM,118769.09277282408,4.1961669921875e-05
8,RANDOM,87689.05633572342,4.887580871582031e-05
8,RANDOM,246944.07855140962,8.797645568847656e-05
8,RANDOM,226653.33044712266,4.291534423828125e-05
8,RANDOM,86216.74261052918,4.291534423828125e-05
8,RANDOM,178411.5921077304,8.416175842285156e-05
8,RANDOM,64332.58605809157,8.034706115722656e-05
8,RANDOM,30301.580389680814,7.581710815429688e-05
8,RANDOM,140277.22593245914,4.38690185546875e-05
8,RANDOM,55461.159589101015,0.00011301040649414062
8,RANDOM,58657.511962373705,4.1961669921875e-05
8,RANDOM,171554.93790419758,3.600120544433594e-05
8,RANDOM,59090.79608833304,4.816055297851562e-05
8,RANDOM,86012.65950772226,4.601478576660156e-05
8,RANDOM,182080.89410879835,3.981590270996094e-05
8,RANDOM,64332.58605809157,3.790855407714844e-05
8,RANDOM,176306.54153635845,4.1961669921875e-05
8,RANDOM,57930.11863282785,3.886222839355469e-05
8,RANDOM,120428.53382483857,6.318092346191406e-05
8,RANDOM,116685.14706350572,3.910064697265625e-05
8,RANDOM,179086.0457872123,4.267692565917969e-05
8,RANDOM,86707.48770452275,3.981590270996094e-05
8,RANDOM,122990.09802046527,3.886222839355469e-05
8,RANDOM,139516.60147452194,3.814697265625e-05
8,RANDOM,169016.60320686628,3.910064697265625e-05
8,RANDOM,56552.461391001736,4.887580871582031e-05
8,RANDOM,137636.12154371387,4.315376281738281e-05
8,RANDOM,79609.26962642252,4.100799560546875e-05
8,RANDOM,116099.21536423963,4.00543212890625e-05
8,RANDOM,178844.87623368978,3.981590270996094e-05
8,RANDOM,112464.14181586452,3.671646118164063e-05
8,RANDOM,169221.9754108041,3.910064697265625e-05
8,RANDOM,112669.51401980234,3.790855407714844e-05
8,RANDOM,117748.30805070676,7.295608520507812e-05
8,RANDOM,127513.09995039293,4.076957702636719e-05
8,RANDOM,185149.8271906493,3.790855407714844e-05
8,RANDOM,116664.0422014521,3.933906555175781e-05
8,RANDOM,180071.03315974493,3.790855407714844e-05
8,RANDOM,115209.97335337545,4.00543212890625e-05
8,RANDOM,67401.51913994255,3.671646118164063e-05
8,RANDOM,112669.51401980234,3.719329833984375e-05
8,RANDOM,86216.74261052918,3.671646118164063e-05
8,RANDOM,183307.0510348535,3.814697265625e-05
